endpoint,cycle_len,method,min_edge_support_bucket,min_node_degree_bucket,n,mean_abs_closure,std_abs_closure,median_abs_closure,mean_signed_closure
IC50,3,gauge_selector_micro,02_5_19,02_10_99,51,0.09527352151868561,0.04538936844132301,0.11018710409774189,-0.007590496934299123
IC50,3,gauge_selector_micro,03_20_99,01_1_9,1868,0.0690392630721545,0.1042878749595213,0.00827096758371542,-0.001209523538656058
IC50,3,gauge_selector_micro,03_20_99,02_10_99,113,0.011737291208429835,0.014745376545096466,0.00584528201309779,-0.0017157369990376788
IC50,3,gauge_selector_micro,04_100plus,01_1_9,301,0.04732846890416666,0.10213035021433602,0.001709528574364584,-0.0033967878753887637
IC50,3,somol_robust_blend_bucket,01_1_4,01_1_9,7528,0.18793670911053517,0.29532083739223197,0.06921182310386184,-0.01961160874124295
IC50,3,somol_robust_blend_bucket,01_1_4,02_10_99,2263,0.08258254903833603,0.22467192601013525,0.0014881489253355282,-0.0001658276787747087
IC50,3,somol_robust_blend_bucket,02_5_19,01_1_9,2876,0.11699206057142826,0.13499346398657192,0.08719072683138258,-0.0004952987476843748
IC50,3,somol_robust_blend_bucket,02_5_19,02_10_99,51,0.09713950312913902,0.06070281814497965,0.10274346525986575,0.00046224612785252423
IC50,3,somol_robust_blend_bucket,03_20_99,01_1_9,1868,0.0660889346699912,0.10205389372365736,0.0016503550545143358,0.0018693235042252663
IC50,3,somol_robust_blend_bucket,03_20_99,02_10_99,113,0.011799816089927818,0.008750145885573858,0.008899761209181357,-0.0008468075093651899
IC50,3,somol_robust_blend_bucket,04_100plus,01_1_9,301,0.03697667820057257,0.09388270100262526,1.746750892076913e-14,0.00987883726026751
IC50,4,empirical_delta,01_1_4,01_1_9,8178,0.267529424569526,0.4534582123781971,0.09209986354804958,0.0010701195305408767
IC50,4,empirical_delta,01_1_4,02_10_99,2644,0.1589739992059252,0.38233004373884594,1.258252761241844e-15,-0.0020874365548048707
IC50,4,empirical_delta,02_5_19,01_1_9,2506,0.07776690882390341,0.16428566380616788,0.005724847592297522,-0.0007806677406830974
IC50,4,empirical_delta,02_5_19,02_10_99,89,0.020106932290522617,0.026666207425293322,0.012443365342154364,0.006069374344953417
IC50,4,empirical_delta,03_20_99,01_1_9,1322,0.00939032981685546,0.019330392064137884,0.00022597486935345873,2.0408819592234505e-05
IC50,4,empirical_delta,03_20_99,02_10_99,125,0.0006487278203103854,0.0015413546364989289,2.9605947323337506e-16,2.5402844276957382e-05
IC50,4,empirical_delta,04_100plus,01_1_9,136,0.002720318814654386,0.005278750655806821,0.00037820779088826306,-0.0005798935988620386
IC50,4,gauge_selector_micro,01_1_4,01_1_9,8178,0.2145828063657212,0.32178503947455733,0.08975168038232298,-0.012586894132833606
IC50,4,gauge_selector_micro,01_1_4,02_10_99,2644,0.09658351469857211,0.2270679239985384,7.091294218497524e-11,-0.0006808035306947515
IC50,4,gauge_selector_micro,02_5_19,01_1_9,2506,0.13050443783258614,0.14123499891604183,0.1008757004239842,-0.0012111844752696695
IC50,4,gauge_selector_micro,02_5_19,02_10_99,89,0.12038549568186502,0.05127429705891632,0.11535354372080849,-0.004140896253506565
IC50,4,gauge_selector_micro,03_20_99,01_1_9,1322,0.0642984426246947,0.08965610108359472,0.03843051712277745,-0.0007851464077385197
IC50,4,gauge_selector_micro,03_20_99,02_10_99,125,0.012386532300425671,0.011088367524746259,0.007197130474901299,-0.00261844196405061
IC50,4,gauge_selector_micro,04_100plus,01_1_9,136,0.03036783933698865,0.029032868132540798,0.03701568811410501,-0.0043224310149081804
IC50,4,somol_robust_blend_bucket,01_1_4,01_1_9,8178,0.2215559507829405,0.3318781827810948,0.09746547302292141,-0.015288888100300846
IC50,4,somol_robust_blend_bucket,01_1_4,02_10_99,2644,0.13487838595335908,0.32837186281937747,0.012149201870739017,0.0073582039132944746
IC50,4,somol_robust_blend_bucket,02_5_19,01_1_9,2506,0.1258137093218154,0.13954697297061092,0.09026161002887652,0.0017899029098276638
