endpoint,seed,feature,level_type,level,n,raw_mae,primary_mae,baseline_mae,graph_mae,delta_baseline_minus_primary,raw_to_primary_gap_closed,primary_shift_abs,baseline_shift_abs
IC50,23,readout_class,transition,binding->absorbance_color,8,0.40680811258364225,0.29268462081462765,0.284158902001201,0.2912710761938404,-0.008525718813426675,0.2805339624232545,0.1931608600088779,0.2143101764514248
IC50,23,readout_class,transition,binding->binding,2006,0.057492620924518255,0.031189411065129336,0.030440662381283994,0.03113385318304733,-0.0007487486838453419,0.457505840513381,0.04940902585297135,0.049425952008096914
IC50,23,readout_class,transition,binding->enzyme_activity,24,0.00011821681640652078,0.0012604676714717729,0.0013507205051992432,0.0012726012592153557,9.025283372747039e-05,-9.662338149399243,0.0012315304061943921,0.0013217832399218625
IC50,23,readout_class,transition,binding->fluorescence,31,0.26843755837089106,0.2042948002838806,0.20303014838053113,0.19788478243826227,-0.001264651903349484,0.23894852298718414,0.10983246196395106,0.13579599524450467
IC50,23,readout_class,transition,binding->htrf_alphascreen,3,0.24272945084108422,0.24272945084108363,0.24272945084108422,0.24272945084108422,5.828670879282072e-16,2.4013035332486794e-15,0.007186019233650735,0.0
IC50,23,readout_class,transition,binding->luminescence,55,0.6222448559477535,0.3761167604228884,0.37640100138384985,0.3724613163425289,0.0002842409609614682,0.3955486223345029,0.5702563369397576,0.5450134278342443
IC50,23,readout_class,transition,binding->mass_spec,48,0.381266592871695,0.24967431259725945,0.24967431259725936,0.24967431259725936,-8.326672684688674e-17,0.3451450579062913,0.3890492777412642,0.389049277741264
IC50,23,readout_class,transition,binding->not_extracted,302,0.29341868993546844,0.18004096685548204,0.18203689050089558,0.17972389199928165,0.0019959236454135387,0.3864025263861738,0.21854793815619947,0.22165986975681823
IC50,23,readout_class,transition,binding->radio,87,0.2166776424137889,0.194560438746654,0.2366449575109882,0.19567138223319003,0.04208451876433422,0.10207423073626452,0.1719721991495739,0.18637028928756513
IC50,23,readout_class,transition,cell_viability->absorbance_color,1,1.3679767852945943,1.4096822354116467,1.3679767852945943,1.4580231957711973,-0.0417054501170524,-0.030486957502039128,0.0417054501170524,0.0
IC50,23,readout_class,transition,cell_viability->cell_viability,122,1.0469469605775632,0.37738185097404076,0.38133343199002223,0.375842234686544,0.003951581015981476,0.6395406212690539,0.9988697724322875,1.0032532691598102
IC50,23,readout_class,transition,cell_viability->enzyme_activity,52,0.4794669371692209,0.295931630786551,0.2875443175558135,0.29558930832942004,-0.008387313230737492,0.38279032849744504,0.30655362918851164,0.33460734277448584
IC50,23,readout_class,transition,cell_viability->fluorescence,360,1.476736516459414,0.2995384853476903,0.2966002445146553,0.2984289652850831,-0.0029382408330350107,0.7971618619780215,1.4632308571045012,1.4668457315206127
IC50,23,readout_class,transition,cell_viability->htrf_alphascreen,9,0.3114635954166343,0.03366835267234257,0.043881377048651,0.019030952261537948,0.01021302437630843,0.8919027675536026,0.2777952427442918,0.26758221836798335
IC50,23,readout_class,transition,cell_viability->luminescence,4,0.5145717569955437,0.32358557156434764,0.2854420798677153,0.30886813475398855,-0.03814349169663234,0.3711555926549813,0.5794993763240763,0.6027453064353292
IC50,23,readout_class,transition,cell_viability->mass_spec,2,0.2183134002271685,0.29293388154527955,0.41390535676202367,0.29468002519259207,0.12097147521674412,-0.3418044024803968,0.10458370469555422,0.22555517991229834
IC50,23,readout_class,transition,cell_viability->not_extracted,9,0.6544422285129036,0.3243647799780103,0.36254235827205633,0.33973473038241686,0.038177578294046055,0.5043645323513612,0.5046216727033551,0.5377237791361967
IC50,23,readout_class,transition,cell_viability->radio,1,0.989004615698537,0.9848173480078444,0.989004615698537,0.989004615698537,0.004187267690692664,0.004233820170530938,0.004187267690692664,0.0
IC50,23,readout_class,transition,enzyme_activity->absorbance_color,331,0.3303093161635232,0.2806385978646588,0.2954202255298472,0.28808966589936774,0.014781627665188424,0.15037637713577054,0.1000759021110279,0.1175857579427439
IC50,23,readout_class,transition,enzyme_activity->binding,24,0.00011821681640652078,0.00127201055534872,0.0013643636681151354,0.0012844260815643531,9.235311276641544e-05,-9.759979789800502,0.0012430732900713393,0.0013354264028377545
IC50,23,readout_class,transition,enzyme_activity->cell_viability,52,0.4794669371692209,0.4014334241130194,0.4006581075823646,0.40180483038675335,-0.0007753165306548238,0.1627505611062827,0.2978413750876922,0.3177587543378192
