dataset,endpoint,method,scope,n_runs,n_mean,mean_mae,std_mae,mean_rmse,mean_bias
BindingDB_Articles_202608,IC50,pair_mean_bias_fallback,cold_assay_pair,5,1480.8,0.5545416166720307,0.10123528806152433,0.9024617636269088,-4.3182108547428836e-19
BindingDB_Articles_202608,IC50,pair_mean_bias_fallback,cold_dst_assay,5,320.2,0.49272907163448976,0.06210370666009499,0.8147760022082398,0.004791387225795118
BindingDB_Articles_202608,IC50,pair_mean_bias_fallback,seen_assay_pair,5,1677.2,0.13193877479986554,0.011709799903438439,0.3046376388437522,-1.1404874373975743e-17
BindingDB_Articles_202608,IC50,pair_mean_bias_fallback,single_chain_target,5,2927.6,0.3114743915393535,0.05080157343679115,0.6400003676631988,-5.5353600973777406e-18
BindingDB_Articles_202608,IC50,robust_trimmed_bias_fallback,all,5,3158.0,0.33060411549716023,0.06486484248288388,0.6595433392634024,2.061547880254976e-18
BindingDB_Articles_202608,IC50,robust_trimmed_bias_fallback,both_assays_seen,5,2674.4,0.2984000974114901,0.07167094636300728,0.6207304273595567,2.9317710584646275e-18
BindingDB_Articles_202608,IC50,robust_trimmed_bias_fallback,cold_assay_pair,5,1480.8,0.5545416166720307,0.10123528806152433,0.9024617636269088,-4.3182108547428836e-19
BindingDB_Articles_202608,IC50,robust_trimmed_bias_fallback,cold_dst_assay,5,320.2,0.49272907163448976,0.06210370666009499,0.8147760022082398,0.004791387225795118
BindingDB_Articles_202608,IC50,robust_trimmed_bias_fallback,seen_assay_pair,5,1677.2,0.12722125434662004,0.012386815229831377,0.30086128617699065,4.6337428644905114e-18
BindingDB_Articles_202608,IC50,robust_trimmed_bias_fallback,single_chain_target,5,2927.6,0.30877823986206454,0.05055604694785237,0.6389669712687829,2.0522088104003675e-18
BindingDB_Articles_202608,KD,deming_bias_fallback,all,5,58.4,0.35653745524136826,0.13503542334484187,0.6696188137145139,-0.01779827379746065
BindingDB_Articles_202608,KD,deming_bias_fallback,both_assays_seen,5,41.2,0.2517265197058508,0.06172101650588719,0.6040449288503255,-0.037005162720815325
BindingDB_Articles_202608,KD,deming_bias_fallback,cold_assay_pair,5,28.0,0.48097740067873473,0.17579312663298555,0.715923186343233,0.0
BindingDB_Articles_202608,KD,deming_bias_fallback,cold_dst_assay,5,14.8,0.5362461655570725,0.2209885971396051,0.791904209275398,0.05216640044520025
BindingDB_Articles_202608,KD,deming_bias_fallback,seen_assay_pair,5,30.4,0.24350529944736823,0.09201031026881966,0.6212448069701176,-0.05636947849354153
BindingDB_Articles_202608,KD,deming_bias_fallback,single_chain_target,5,58.4,0.35653745524136826,0.13503542334484187,0.6696188137145139,-0.01779827379746065
BindingDB_Articles_202608,KD,external_somol_gauge,all,5,58.4,0.3446481513456,0.11111217697366477,0.607794295810223,-4.8399332979447e-18
BindingDB_Articles_202608,KD,external_somol_gauge,both_assays_seen,5,41.2,0.2032544873913377,0.01837374464630567,0.39423036952951485,2.3267583146386615e-17
BindingDB_Articles_202608,KD,external_somol_gauge,cold_assay_pair,5,28.0,0.5747093260070407,0.11619874780371953,0.8257228062920676,1.124034411534369e-17
BindingDB_Articles_202608,KD,external_somol_gauge,cold_dst_assay,5,14.8,0.5523818736958118,0.257177602453421,0.8099094942913336,0.11538624401200952
BindingDB_Articles_202608,KD,external_somol_gauge,seen_assay_pair,5,30.4,0.13211033654680288,0.0350035138142688,0.2952041773539209,-3.864011507273829e-18
