endpoint,seed,support_bucket,nominal_coverage,empirical_coverage,mean_interval_width,mean_abs_resid,n
KI,23,03_10-29,0.95,0.8973195441114394,1.1616404423379325,0.24193881013505383,9476
KI,23,04_30plus,0.5,0.4883592017738359,0.00048208926036785726,0.07382171400668816,7216
KI,23,04_30plus,0.8,0.7863082039911308,0.031177078219460697,0.07382171400668816,7216
KI,23,04_30plus,0.9,0.9016075388026608,0.465364487112196,0.07382171400668816,7216
KI,23,04_30plus,0.95,0.9600886917960089,1.2011139553389252,0.07382171400668816,7216
KI,23,all,0.5,0.32459418428120984,0.0005858676085450654,0.16849150312007186,51378
KI,23,all,0.8,0.807232667678773,0.2611756890617638,0.16849150312007186,51378
KI,23,all,0.9,0.9046868309393126,1.0893535825120855,0.16849150312007186,51378
KI,23,all,0.95,0.9327922457082798,1.5746431828713483,0.16849150312007186,51378
KI,29,00_zero,0.5,0.24150058616647127,0.009795629687200602,0.38725742587507145,1706
KI,29,00_zero,0.8,0.33411488862837047,0.05455057453634993,0.38725742587507145,1706
KI,29,00_zero,0.9,0.7655334114888629,1.1873662270862475,0.38725742587507145,1706
KI,29,00_zero,0.95,0.9249706916764361,2.5580675497251875,0.38725742587507145,1706
KI,29,01_1-4,0.5,0.37990867579908677,3.552713678800501e-15,0.34528052692625383,4380
KI,29,01_1-4,0.8,0.5970319634703196,0.27585195330359547,0.34528052692625383,4380
KI,29,01_1-4,0.9,0.7484018264840183,1.3533872192497327,0.34528052692625383,4380
KI,29,01_1-4,0.95,0.8015981735159817,1.8931113615460688,0.34528052692625383,4380
KI,29,02_5-9,0.5,0.42083818393480793,0.02818205688667419,0.29717307239570945,1718
KI,29,02_5-9,0.8,0.6635622817229336,0.3980105823515818,0.29717307239570945,1718
KI,29,02_5-9,0.9,0.7788125727590222,0.9038538840132269,0.29717307239570945,1718
KI,29,02_5-9,0.95,0.9586728754365541,2.414273777968962,0.29717307239570945,1718
KI,29,03_10-29,0.5,0.4364453556221416,0.04276652327669339,0.17889324030509876,12682
KI,29,03_10-29,0.8,0.77677022551648,0.3296274488657538,0.17889324030509876,12682
KI,29,03_10-29,0.9,0.8679230405298849,0.7117427937875078,0.17889324030509876,12682
KI,29,03_10-29,0.95,0.9212269358145403,1.0416785142392868,0.17889324030509876,12682
KI,29,04_30plus,0.5,0.5155038759689923,0.0004351322652222933,0.06792729569737169,6966
KI,29,04_30plus,0.8,0.7859603789836348,0.014768217374449222,0.06792729569737169,6966
KI,29,04_30plus,0.9,0.9010910134941142,0.43283171612010773,0.06792729569737169,6966
KI,29,04_30plus,0.95,0.9491817398794143,1.078770992349416,0.06792729569737169,6966
KI,29,all,0.5,0.4292219146146,0.01022480803389847,0.19763364528022898,27452
KI,29,all,0.8,0.6767084365437855,0.17200944319248732,0.19763364528022898,27452
KI,29,all,0.9,0.8434358152411482,0.857621065096405,0.19763364528022898,27452
