endpoint,route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
EC50,ours,ours_main_same_split,somol_guarded_stack_micro,macro_target,5,0.27962730426422144,0.026671476962896228,0.37347912131393046,0.03982695021432241,0.00083026229013598,6882.4,115.0
EC50,ours,ours_main_same_split,somol_guarded_stack_micro,macro_assay_pair,5,0.4277277112907276,0.06093400646053762,0.45037133346468794,0.06387317930747592,-0.007329622656631521,6882.4,1518.4
EC50,ours,ours_main_same_split,somol_robust_blend_bucket,micro,5,0.16354696429126087,0.02999919612075527,0.4286926231255691,0.08647650974852567,0.0006435921161520598,6882.4,1.0
EC50,ours,ours_main_same_split,somol_robust_blend_bucket,macro_target,5,0.27566032430478676,0.025774459072211174,0.37270743964789876,0.03876200944819013,0.00225711621409772,6882.4,115.0
EC50,ours,ours_main_same_split,somol_robust_blend_bucket,macro_assay_pair,5,0.4255983274459819,0.061974137723606056,0.4489193583427011,0.06455409071888583,-0.00597713050403454,6882.4,1518.4
EC50,ours,ours_main_same_split,somol_stack,micro,5,0.16793170628435758,0.02979358236304861,0.42869681091523965,0.08699040563762285,-0.00153313000704422,6882.4,1.0
EC50,ours,ours_main_same_split,somol_stack,macro_target,5,0.2820325022539728,0.025028699262844636,0.3752763302841854,0.03822141821924997,0.0007729181726795799,6882.4,115.0
EC50,ours,ours_main_same_split,somol_stack,macro_assay_pair,5,0.4276963517582775,0.06040336317078172,0.45042135945209705,0.06349492550026842,-0.008212542187572619,6882.4,1518.4
EC50,ours,ours_main_same_split,somol_stack_micro,micro,5,0.16793170628435758,0.02979358236304861,0.42869681091523965,0.08699040563762285,-0.00153313000704422,6882.4,1.0
EC50,ours,ours_main_same_split,somol_stack_micro,macro_target,5,0.2820325022539728,0.025028699262844636,0.3752763302841854,0.03822141821924997,0.0007729181726795799,6882.4,115.0
EC50,ours,ours_main_same_split,somol_stack_micro,macro_assay_pair,5,0.4276963517582775,0.06040336317078172,0.45042135945209705,0.06349492550026842,-0.008212542187572619,6882.4,1518.4
EC50,ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_assay_pair,micro,5,0.16699197767667082,0.027189373102306118,0.42422126163520774,0.08627838479861183,-0.0017962055422956597,6882.4,1.0
EC50,ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_assay_pair,macro_target,5,0.2872111226875309,0.0256879576956789,0.38005796060628244,0.04043528012946404,0.0006763964786181602,6882.4,115.0
EC50,ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_assay_pair,macro_assay_pair,5,0.42395480495631144,0.06016055265544323,0.4464370023611105,0.06376847575210563,-0.00652492574203134,6882.4,1518.4
EC50,ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_target,micro,5,0.17173605513862197,0.031140376223421123,0.4388601581933912,0.08863538777484764,-0.00033295303666053977,6882.4,1.0
EC50,ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_target,macro_target,5,0.2798963551118662,0.030950148560375694,0.37406944651264057,0.04666195902285538,0.0031622867169140605,6882.4,115.0
EC50,ours_ablation,ours_ablation_same_split,gauge_calibration_selector_macro_target,macro_assay_pair,5,0.4415819084705621,0.0655611312247578,0.46417775395525745,0.06709122196350764,-0.0009557622088748401,6882.4,1518.4
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,micro,5,0.17142012138046453,0.03127675465658479,0.440406533839524,0.0868995660594022,-0.0003341677624424001,6882.4,1.0
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,macro_target,5,0.28118799472012623,0.02810587941633499,0.37691267307693466,0.04204426586057275,0.0015686408101533,6882.4,115.0
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,macro_assay_pair,5,0.4410397706232246,0.06237700834679975,0.46396590358944084,0.06394804008274642,-0.00440450626604258,6882.4,1518.4
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_macro_assay_pair,micro,5,0.1700987437194612,0.030970874202994613,0.4326014671938789,0.08534493386704432,-0.00110676569613322,6882.4,1.0
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_macro_assay_pair,macro_target,5,0.2856609985194656,0.022900562866545373,0.379759057445751,0.03522245137530113,0.0017142331276132998,6882.4,115.0
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_macro_assay_pair,macro_assay_pair,5,0.4375463231290759,0.06749416264732372,0.46020322263906177,0.069631359187738,-0.007141392216215919,6882.4,1518.4
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_macro_target,micro,5,0.17142012138046453,0.03127675465658479,0.440406533839524,0.0868995660594022,-0.0003341677624424001,6882.4,1.0
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_macro_target,macro_target,5,0.28118799472012623,0.02810587941633499,0.37691267307693466,0.04204426586057275,0.0015686408101533,6882.4,115.0
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_macro_target,macro_assay_pair,5,0.4410397706232246,0.06237700834679975,0.46396590358944084,0.06394804008274642,-0.00440450626604258,6882.4,1518.4
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_micro,micro,5,0.1705462959203591,0.03130953159905064,0.43625180569239436,0.08953529429768516,-0.0010415084748676001,6882.4,1.0
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_micro,macro_target,5,0.2862868458005211,0.023496185067337937,0.38116945667864127,0.0360182421875615,0.0020060659975301,6882.4,115.0
EC50,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector_micro,macro_assay_pair,5,0.4392003852546633,0.06806168775710623,0.46201082045969544,0.07046192478485608,-0.0070329632588153595,6882.4,1518.4
EC50,ours_ablation,ours_ablation_same_split,somol_gauge_graph_blend_macro_assay_pair,micro,5,0.16963161614797936,0.03227479120856152,0.43434369030332276,0.09176789013666106,-0.00062269874604752,6882.4,1.0
EC50,ours_ablation,ours_ablation_same_split,somol_gauge_graph_blend_macro_assay_pair,macro_target,5,0.28327820435114315,0.02766396408648393,0.37710048237540467,0.041752520875017574,0.00246852431381632,6882.4,115.0
EC50,ours_ablation,ours_ablation_same_split,somol_gauge_graph_blend_macro_assay_pair,macro_assay_pair,5,0.43411819659189516,0.06775670829346266,0.4568738197586454,0.06984109696404467,-0.0041698902744429795,6882.4,1518.4
