endpoint,seed,filter,n,primary_mae,baseline_mae,delta_baseline_minus_primary
EC50,17,pair_support_ge_10,5522,0.0967028898625461,0.09796226233163209,0.001259372469085987
EC50,17,pair_support_ge_20,4706,0.0626179479734411,0.06361330040959365,0.0009953524361525495
EC50,23,all,6974,0.1624056052021561,0.16781468105322503,0.005409075851068923
EC50,23,activity_in_2_12,6948,0.16035435866634778,0.16562652134428058,0.00527216267793279
EC50,23,no_data_validity_comment,6790,0.14927090296488038,0.1544850739947199,0.005214171029839509
EC50,23,no_potential_duplicate_flag,1996,0.38524773265012713,0.39391280910723353,0.008665076457106402
EC50,23,publication_only,2066,0.47627674038757734,0.49314247819482593,0.016865737807248593
EC50,23,target_confidence_9,6974,0.1624056052021561,0.16781468105322503,0.005409075851068923
EC50,23,single_protein_target,6974,0.1624056052021561,0.16781468105322503,0.005409075851068923
EC50,23,assay_n_ge_50,4674,0.030778098400645125,0.031608123162219365,0.0008300247615742398
EC50,23,assay_n_ge_100,4084,0.018199513969469647,0.019492448943842288,0.0012929349743726407
EC50,23,pair_support_ge_5,6390,0.10778120548878954,0.10899864427974622,0.0012174387909566764
EC50,23,pair_support_ge_10,6300,0.10787394176251744,0.10910877253620208,0.0012348307736846365
EC50,23,pair_support_ge_20,5602,0.08468315132650145,0.08550520345837731,0.0008220521318758611
EC50,29,all,6874,0.19227144548760108,0.1937898900287368,0.0015184445411357272
EC50,29,activity_in_2_12,6842,0.19287152455564963,0.19464361755469956,0.001772092999049929
EC50,29,no_data_validity_comment,6664,0.1746581944827227,0.177116037168201,0.002457842685478301
EC50,29,no_potential_duplicate_flag,2214,0.4000938811713216,0.400180298360103,8.641718878138471e-05
EC50,29,publication_only,2610,0.44128553205332205,0.44558678126378426,0.00430124921046221
EC50,29,target_confidence_9,6874,0.19227144548760108,0.1937898900287368,0.0015184445411357272
EC50,29,single_protein_target,6874,0.19227144548760108,0.1937898900287368,0.0015184445411357272
EC50,29,assay_n_ge_50,4068,0.040132455686270725,0.0409396792790987,0.000807223592827977
EC50,29,assay_n_ge_100,3456,0.027479071082982684,0.028553339976646146,0.0010742688936634624
EC50,29,pair_support_ge_5,5880,0.11955047703005789,0.12036926273540956,0.0008187857053516684
EC50,29,pair_support_ge_10,5738,0.11663626320241896,0.11747531164220076,0.0008390484397818032
EC50,29,pair_support_ge_20,4880,0.07335924305789945,0.07411833104119472,0.0007590879832952702
EC50,31,all,6922,0.15558776532190216,0.16334246073728875,0.007754695415386592
EC50,31,activity_in_2_12,6890,0.15614690351892443,0.16396306522413887,0.00781616170521443
EC50,31,no_data_validity_comment,6732,0.15297910194088205,0.16062636159995666,0.007647259659074618
EC50,31,no_potential_duplicate_flag,2058,0.334702011636468,0.3507343213496668,0.0160323097131988
EC50,31,publication_only,2488,0.373502976447758,0.39386305519971937,0.020360078751961386
EC50,31,target_confidence_9,6922,0.15558776532190216,0.16334246073728875,0.007754695415386592
EC50,31,single_protein_target,6922,0.15558776532190216,0.16334246073728875,0.007754695415386592
EC50,31,assay_n_ge_50,4232,0.03514548438901709,0.03522757153249166,8.208714347457402e-05
EC50,31,assay_n_ge_100,3520,0.024811395996718177,0.025346175364031952,0.0005347793673137757
EC50,31,pair_support_ge_5,5928,0.09725519935103401,0.10157558342574159,0.004320384074707584
EC50,31,pair_support_ge_10,5768,0.09503198221551455,0.09858270757235968,0.0035507253568451275
EC50,31,pair_support_ge_20,5082,0.06863988728890955,0.07162221730413128,0.002982330015221732
