scenario,route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
assay_node_ood_unseen,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,macro_target,20,0.7361686183305592,0.25681217363370923,0.8105493151092318,0.2913360756127074,2.0125579655307004e-07,3759.8,62.8
assay_node_ood_unseen,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,micro,20,0.745754375043898,0.2844997445614148,1.0166751242850183,0.3962712223029457,7.557181441133759e-07,3759.8,1.0
assay_node_ood_unseen,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,macro_assay_pair,20,0.7510863148164669,0.2876770892555013,0.7520547428666742,0.2879718684339585,7.321923577684512e-07,3759.8,3701.7
assay_node_ood_unseen,ours,ours_main_same_split,gauge_calibration_selector_micro,macro_target,20,0.4632127217157797,0.33970794238254964,0.5211977672877778,0.3517593871465395,0.07774348871894152,3759.8,62.8
assay_node_ood_unseen,ours,ours_main_same_split,gauge_calibration_selector_micro,macro_assay_pair,20,0.5081575707504398,0.3785191657874937,0.5088804831986793,0.37892704280585515,0.0754987478015369,3759.8,3701.7
assay_node_ood_unseen,ours,ours_main_same_split,gauge_calibration_selector_micro,micro,20,0.5100116727413301,0.3788328533899544,0.7411841168017936,0.45661611139717373,0.07537450435125256,3759.8,1.0
assay_node_ood_unseen,ours,ours_main_same_split,somol_gauge_graph_blend_micro,macro_target,20,0.4650209873796044,0.33705671913658936,0.5247295896789861,0.34653200170293574,0.07623475227293355,3759.8,62.8
assay_node_ood_unseen,ours,ours_main_same_split,somol_gauge_graph_blend_micro,macro_assay_pair,20,0.5078636595254772,0.3763423144910887,0.5085821222635292,0.37671443757497686,0.07395558236976296,3759.8,3701.7
assay_node_ood_unseen,ours,ours_main_same_split,somol_gauge_graph_blend_micro,micro,20,0.5100121753930705,0.3764688997303214,0.7420809128791779,0.45030893989427817,0.07388583639657768,3759.8,1.0
assay_node_ood_unseen,ours,ours_main_same_split,somol_guarded_stack_micro,macro_target,20,0.4271209704962624,0.22737522743349478,0.48415799570571066,0.23717751098101442,0.042169907838472444,3759.8,62.8
assay_node_ood_unseen,ours,ours_main_same_split,somol_guarded_stack_micro,macro_assay_pair,20,0.46900990203443566,0.2861858514025248,0.4696884984203846,0.2866989512456055,0.03787291324746535,3759.8,3701.7
assay_node_ood_unseen,ours,ours_main_same_split,somol_guarded_stack_micro,micro,20,0.4711676759124298,0.2869334516849355,0.6890196210502382,0.34556751022035875,0.0378706160039989,3759.8,1.0
assay_node_ood_unseen,ours,ours_main_same_split,somol_robust_blend_bucket,macro_target,20,0.4271164687068474,0.22737838530613458,0.48416160700528954,0.23717517148856482,0.04216990783847244,3759.8,62.8
assay_node_ood_unseen,ours,ours_main_same_split,somol_robust_blend_bucket,macro_assay_pair,20,0.4690127341641162,0.286184266059785,0.4696913305500652,0.28669736460624695,0.03787291324746535,3759.8,3701.7
assay_node_ood_unseen,ours,ours_main_same_split,somol_robust_blend_bucket,micro,20,0.4711703645165349,0.2869318968102231,0.6890519673794533,0.34554891731052595,0.0378706160039989,3759.8,1.0
assay_node_ood_unseen,ours,ours_main_same_split,somol_stack_micro,macro_target,20,0.4614668438366423,0.3373263370355765,0.5215385770983236,0.34721464640970157,0.07354722408057271,3759.8,62.8
assay_node_ood_unseen,ours,ours_main_same_split,somol_stack_micro,macro_assay_pair,20,0.5022602669847931,0.3749549547996241,0.5029340439441895,0.3752735769483357,0.06861211905661088,3759.8,3701.7
assay_node_ood_unseen,ours,ours_main_same_split,somol_stack_micro,micro,20,0.5045209493001094,0.37532593432201544,0.7343098779575745,0.44794825898543805,0.06860850764053107,3759.8,1.0
assay_node_ood_unseen,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,macro_target,20,0.4695588843751482,0.33788288218727663,0.5302581921314677,0.3476587185538103,0.07415258557600449,3759.8,62.8
assay_node_ood_unseen,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,macro_assay_pair,20,0.5102993501915323,0.37734289096344686,0.5110285630488476,0.37770511296818937,0.07126058696483376,3759.8,3701.7
assay_node_ood_unseen,ours_ablation,ours_ablation_same_split,graph_gauge_calibration_selector,micro,20,0.5124108640197391,0.3774110974568768,0.7447785386889667,0.45195528209785196,0.07124152634472597,3759.8,1.0
direct_pair_cold_start_zero,classic,ours_rerun_same_split,identity_bias,macro_target,20,0.4473928252675841,0.12173691997459625,0.5370940347201998,0.13532196896236548,0.0,5189.8,76.4
direct_pair_cold_start_zero,classic,ours_rerun_same_split,identity_bias,micro,20,0.5151186124459961,0.24837957397684648,0.8073877075874207,0.28646220086427543,0.0,5189.8,1.0
direct_pair_cold_start_zero,classic,ours_rerun_same_split,identity_bias,macro_assay_pair,20,0.5159287221205983,0.25130022510777933,0.5168402159005272,0.2515561508466516,-1.1591052301387511e-18,5189.8,5100.0
direct_pair_cold_start_zero,classic,ours_rerun_same_split,pair_affine_bias_fallback,macro_target,20,0.4473928252675841,0.12173691997459625,0.5370940347201998,0.13532196896236548,0.0,5189.8,76.4
direct_pair_cold_start_zero,classic,ours_rerun_same_split,pair_affine_bias_fallback,micro,20,0.5151186124459961,0.24837957397684648,0.8073877075874207,0.28646220086427543,0.0,5189.8,1.0
direct_pair_cold_start_zero,classic,ours_rerun_same_split,pair_affine_bias_fallback,macro_assay_pair,20,0.5159287221205983,0.25130022510777933,0.5168402159005272,0.2515561508466516,-1.1591052301387511e-18,5189.8,5100.0
direct_pair_cold_start_zero,classic,ours_rerun_same_split,pair_isotonic,micro,20,0.6234237539092525,0.22843287387506117,0.849565663116491,0.28721715305634243,0.011984929611434023,5189.8,1.0
direct_pair_cold_start_zero,classic,ours_rerun_same_split,pair_isotonic,macro_assay_pair,20,0.6246693976483475,0.23090482635624476,0.6254962168748702,0.2310319365610445,0.013449162462741842,5189.8,5100.0
direct_pair_cold_start_zero,classic,ours_rerun_same_split,pair_isotonic,macro_target,20,0.6314526006268102,0.25229893378555873,0.7075841347157896,0.2524481746310345,0.06704701660325499,5189.8,76.4
direct_pair_cold_start_zero,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_target,20,0.5250734391847489,0.2591232397492864,0.6100394240922062,0.26379865582533074,0.07280349724947287,5189.8,76.4
direct_pair_cold_start_zero,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_assay_pair,20,0.5581192945389979,0.27793582400727235,0.558815187625137,0.27817177226266127,0.040129932837085734,5189.8,5100.0
direct_pair_cold_start_zero,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,micro,20,0.5590487759199304,0.27811098003293566,0.8323705911994596,0.2941666708653591,0.04203283209810693,5189.8,1.0
direct_pair_cold_start_zero,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_target,20,0.4473928252675841,0.12173691997459625,0.5370940347201998,0.13532196896236548,0.0,5189.8,76.4
direct_pair_cold_start_zero,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,micro,20,0.5151186124459961,0.24837957397684648,0.8073877075874207,0.28646220086427543,0.0,5189.8,1.0
direct_pair_cold_start_zero,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_assay_pair,20,0.5159287221205983,0.25130022510777933,0.5168402159005272,0.2515561508466516,-1.1591052301387511e-18,5189.8,5100.0
direct_pair_cold_start_zero,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,macro_target,20,0.4473928252675841,0.12173691997459625,0.5370940347201998,0.13532196896236548,0.0,5189.8,76.4
direct_pair_cold_start_zero,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,micro,20,0.5151186124459961,0.24837957397684648,0.8073877075874207,0.28646220086427543,0.0,5189.8,1.0
direct_pair_cold_start_zero,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,macro_assay_pair,20,0.5159287221205983,0.25130022510777933,0.5168402159005272,0.2515561508466516,-1.1591052301387511e-18,5189.8,5100.0
direct_pair_cold_start_zero,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,micro,20,0.9272220156781508,0.41520167985423234,2.27990131716293,1.6345334924130523,-0.07881311419661174,5189.8,1.0
direct_pair_cold_start_zero,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_assay_pair,20,0.9317748190490992,0.4184738643027054,0.933730949960518,0.41876065671292906,-0.08007384260094698,5189.8,5100.0
direct_pair_cold_start_zero,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_target,20,1.036928732016086,0.37208598742033716,1.4639268593896486,0.6443908485850349,-0.026914286135795808,5189.8,76.4
direct_pair_cold_start_zero,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,macro_target,20,0.7839504541735914,0.17615152132402462,0.8806119046006483,0.20075091748701052,2.481161079456001e-07,5189.8,76.4
direct_pair_cold_start_zero,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,micro,20,0.8168924089389517,0.18557005256625406,1.1290750974635992,0.30307955922339763,1.55434586036472e-07,5189.8,1.0
direct_pair_cold_start_zero,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_ridge,macro_assay_pair,20,0.8217962303361617,0.18954469392593226,0.8226680167585222,0.18984520448360676,1.458266277372573e-07,5189.8,5100.0
direct_pair_cold_start_zero,ours,ours_main_same_split,gauge_calibration_selector_micro,macro_target,20,0.4967282813784233,0.27217311277865147,0.5661137980233961,0.2844070378118162,0.08465611067834919,5189.8,76.4
direct_pair_cold_start_zero,ours,ours_main_same_split,gauge_calibration_selector_micro,macro_assay_pair,20,0.5454832250654038,0.3013660036808193,0.5462383700280318,0.3016728727258011,0.06557247603129168,5189.8,5100.0
direct_pair_cold_start_zero,ours,ours_main_same_split,gauge_calibration_selector_micro,micro,20,0.5460857161696816,0.29973773252997366,0.7994123189330445,0.353322291055434,0.06707433668914406,5189.8,1.0
direct_pair_cold_start_zero,ours,ours_main_same_split,somol_gauge_graph_blend_micro,macro_target,20,0.4727729130377142,0.24902123604299004,0.5454035407486824,0.25697019959395856,0.05648247494322568,5189.8,76.4
